category,manufacturer,modelname,serialnumber,ondate,inventory,operatorcode,project,ownercode,propertytag,epochnotes,isinstalled,netcode,lookupcode,monname,installdate
BATTERY,UNKNOWN,UNKNOWN,S39B2-2019-12,2019-12-16 (350) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,S39B,"Bolivar, MO, USA",2019-12-16 (350) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,T35B1-2020-01,2020-01-12 (012) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,T35B,"Sooner Cattle Company, Foraker, OK, USA",2020-01-12 (012) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,T35B2-2020-01,2020-01-12 (012) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,T35B,"Sooner Cattle Company, Foraker, OK, USA",2020-01-12 (012) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,T42B1-2020-01,2020-01-12 (012) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,T42B,T42B,2020-01-12 (012) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,T42B2-2020-01,2020-01-12 (012) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,T42B,T42B,2020-01-12 (012) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,W57A1-2020-01,2020-01-16 (016) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,W57A,"Gilead, NC, USA",2020-01-16 (016) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,W57A2-2020-01,2020-01-16 (016) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,W57A,"Gilead, NC, USA",2020-01-16 (016) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,X48A1-2020-01,2020-01-17 (017) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,X48A,"Hartselle, AL, USA",2020-01-17 (017) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,X48A2-2020-01,2020-01-17 (017) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,X48A,"Hartselle, AL, USA",2020-01-17 (017) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,X48A3-2020-01,2020-01-17 (017) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,X48A,"Hartselle, AL, USA",2020-01-17 (017) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,O20A1-2020-10,2020-10-16 (290) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,O20A,"White River City, CO, USA",2020-10-17 (291) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,O20A2-2020-10,2020-10-16 (290) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,O20A,"White River City, CO, USA",2020-10-17 (291) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,O20A3-2020-10,2020-10-16 (290) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,O20A,"White River City, CO, USA",2020-10-17 (291) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,Q51A1-2020-11,2020-11-08 (313) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,Q51A,"Peebles, OH, USA",2020-11-08 (313) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,Q51A2-2020-11,2020-11-08 (313) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,Q51A,"Peebles, OH, USA",2020-11-08 (313) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,Q51A3-2020-11,2020-11-08 (313) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,Q51A,"Peebles, OH, USA",2020-11-08 (313) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,T47A1-2020-11,2020-11-09 (314) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,T47A,"Sharon Grove, KY, USA",2020-11-09 (314) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,T47A2-2020-11,2020-11-09 (314) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,T47A,"Sharon Grove, KY, USA",2020-11-09 (314) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,U49A1-2020-11,2020-11-10 (315) 17:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,U49A,"Red Boiling Springs, TN, USA",2020-11-10 (315) 17:00:00
BATTERY,UNKNOWN,UNKNOWN,U49A2-2020-11,2020-11-10 (315) 17:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,U49A,"Red Boiling Springs, TN, USA",2020-11-10 (315) 17:00:00
BATTERY,UNKNOWN,UNKNOWN,T50A1-2020-11,2020-11-11 (316) 19:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,T50A,"Nancy, KY, USA",2020-11-11 (316) 19:00:00
BATTERY,UNKNOWN,UNKNOWN,T50A2-2020-11,2020-11-11 (316) 19:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,T50A,"Nancy, KY, USA",2020-11-11 (316) 19:00:00
BATTERY,UNKNOWN,UNKNOWN,Q52A1-2020-11,2020-11-12 (317) 19:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,Q52A,"Bidwell, OH, USA",2020-11-12 (317) 19:00:00
BATTERY,UNKNOWN,UNKNOWN,Q52A2-2020-11,2020-11-12 (317) 19:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,Q52A,"Bidwell, OH, USA",2020-11-12 (317) 19:00:00
BATTERY,UNKNOWN,UNKNOWN,R32B1-2021-03,2021-03-30 (089) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,R32B,"Long Quarter, Great Bend, KS, USA",2021-03-30 (089) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,R32B2-2021-03,2021-03-30 (089) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,R32B,"Long Quarter, Great Bend, KS, USA",2021-03-30 (089) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,N35B1-2021-04,2021-04-01 (091) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,N35B,"Tabor, IA, USA",2021-04-01 (091) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,N35B2-2021-04,2021-04-01 (091) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,N35B,"Tabor, IA, USA",2021-04-01 (091) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,L34B1-2021-04,2021-04-02 (092) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,L34B,"Svendsen Farm, Lyons, NE, USA",2021-04-02 (092) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,L34B2-2021-04,2021-04-02 (092) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,L34B,"Svendsen Farm, Lyons, NE, USA",2021-04-02 (092) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,L34B3-2021-04,2021-04-02 (092) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,L34B,"Svendsen Farm, Lyons, NE, USA",2021-04-02 (092) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,BGNE1-2021-04,2021-04-02 (092) 20:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,BGNE,"Belgrade, NE, USA",2021-04-02 (092) 20:00:00
BATTERY,UNKNOWN,UNKNOWN,BGNE2-2021-04,2021-04-02 (092) 20:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,BGNE,"Belgrade, NE, USA",2021-04-02 (092) 20:00:00
BATTERY,UNKNOWN,UNKNOWN,BGNE3-2021-04,2021-04-02 (092) 20:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,BGNE,"Belgrade, NE, USA",2021-04-02 (092) 20:00:00
BATTERY,UNKNOWN,UNKNOWN,BGNE4-2021-04,2021-04-02 (092) 20:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,BGNE,"Belgrade, NE, USA",2021-04-02 (092) 20:00:00
BATTERY,UNKNOWN,UNKNOWN,BGNE5-2021-04,2021-04-02 (092) 20:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,BGNE,"Belgrade, NE, USA",2021-04-02 (092) 20:00:00
BATTERY,UNKNOWN,UNKNOWN,BGNE6-2021-04,2021-04-02 (092) 20:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,BGNE,"Belgrade, NE, USA",2021-04-02 (092) 20:00:00
BATTERY,UNKNOWN,UNKNOWN,K30B1-2021-04,2021-04-03 (093) 18:30:00,FUNCTIONAL,ASL,,,,,Yes,N4,K30B,"Basset, NE, USA",2021-04-03 (093) 18:30:00
BATTERY,UNKNOWN,UNKNOWN,K30B2-2021-04,2021-04-03 (093) 18:30:00,FUNCTIONAL,ASL,,,,,Yes,N4,K30B,"Basset, NE, USA",2021-04-03 (093) 18:30:00
BATTERY,UNKNOWN,UNKNOWN,K30B3-2021-04,2021-04-03 (093) 18:30:00,FUNCTIONAL,ASL,,,,,Yes,N4,K30B,"Basset, NE, USA",2021-04-03 (093) 18:30:00
BATTERY,UNKNOWN,UNKNOWN,U38B1-2021-04,2021-04-24 (114) 23:45:00,FUNCTIONAL,ASL,,,,,Yes,N4,U38B,"Mount Pleasant Farm, Gravette, AR, USA",2021-04-24 (114) 23:45:00
BATTERY,UNKNOWN,UNKNOWN,U38B2-2021-04,2021-04-24 (114) 23:45:00,FUNCTIONAL,ASL,,,,,Yes,N4,U38B,"Mount Pleasant Farm, Gravette, AR, USA",2021-04-24 (114) 23:45:00
BATTERY,UNKNOWN,UNKNOWN,R49A1-2021-05,2021-05-23 (143) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,R49A,"Shelbyville, KY, USA",2021-05-23 (143) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,R49A2-2021-05,2021-05-23 (143) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,R49A,"Shelbyville, KY, USA",2021-05-23 (143) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,KSCO1-2021-05,2021-05-24 (144) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,KSCO,"Kaye Shedlock, Cheyenne Wells, CO, USA",2021-05-24 (144) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,KSCO2-2021-05,2021-05-24 (144) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,KSCO,"Kaye Shedlock, Cheyenne Wells, CO, USA",2021-05-24 (144) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,KSCO3-2021-05,2021-05-24 (144) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,KSCO,"Kaye Shedlock, Cheyenne Wells, CO, USA",2021-05-24 (144) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,154A1-2021-06,2021-06-02 (153) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,154A,"Montrose, GA, USA",2021-06-02 (153) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,154A2-2021-06,2021-06-02 (153) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,154A,"Montrose, GA, USA",2021-06-02 (153) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,154A3-2021-06,2021-06-02 (153) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,154A,"Montrose, GA, USA",2021-06-02 (153) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,456A1-2021-06,2021-06-03 (154) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,456A,"Hilliard, FL, USA",2021-06-03 (154) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,456A2-2021-06,2021-06-03 (154) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,456A,"Hilliard, FL, USA",2021-06-03 (154) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,ABTX1-2021-06,2021-06-04 (155) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,ABTX,"Abilene, Hawley, TX, USA",2021-06-04 (155) 16:00:00
